"Racism0090","@africai82973878 @Evebazaiba @AssembleeN @FemmesLeadeRdc @michelkoyakpa7 @heritiermpianap No hate toward our banyamulenge sisters and brothers. We are all Africans, one love to 😍. All mentioned belong to the past let leave it behind our future together will be better.  One love 😍😍😍",,,,
"Racism0091","There is deep self hate amongst many Africans and they fail to bring their governments to accountability that is why till today we remain a burden of all these European countries.",,,,
"Racism0092","@hexgrrrl why I hate the separation of Africa to “north” and “sub Saharan”. a. A lot of North Africans are black, and Africa, an entire continent, can’t be divided into “black/nonblack” b. the Sahara is MASSIVE and has many indig cultures c. colonialist borders but make it leftist? AGAIN?",,,,
"Racism0093","David lammy is the only Black person I know, who has white people hate him due to racism and Black people hate him because he kisses white ass https://t.co/QLoVFEaMdw",,,,
"Racism0094","@AHR3th @MerajSh93973528 @delventotime Why do you people hate turks so much? As soon as you start dividing Muslims as Arabs, turks, Africans, Asian, etc. Islam will be in danger.",,,,
"Racism0095","Wow... in my team of nurses I am the “white one”, because my skin is fair. The rest of my eight member team are African-American, Asian, Latino, and they are the smartest and most brilliant people I’ve ever worked with. I hate racism. https://t.co/AW4LOm3E9K",,,,
"Racism0096","@ChadMikey_ So just because someone doesn’t have black skin means they don’t have black roots? Makes absolutely no sense &amp; you sound really ignorant. My skin color is as white as can be and I have family in Cuba who’s Afro Cuban. You don’t have to be dark skinned to agree with BLM.",,,,
"Racism0097","@tsh360 @DeanMacpherson It is deemed ignorant and racist to talk of White Africans as Europeans. Secondly the indigenous people of South Africa are the Khoisan. If you are of another heritage find out where you came from and do what you telling others to do.",,,,
"Racism0098","@BetweenyouI But in your case it's all black foreigners must go chief just admit it you hate Africans with a passion yet you pray everyday but you full of hatred 😂😂😂😂😂""@leightonwhiteni @unvarnishedvoid yeah but what i’m saying is that those are afro puffs, a protective black hairstyle. the woman with the afro puffs is being ignorant and saying their space buns, even if someone corrects her.",,,,
"Racism0099","Words to live by. I was a ""black conservative"" in early high school for various reasons. I grew out of it around Charlottesville. Lots of unconscious self-hatred and alienation from being an African, not African American. https://t.co/tuibFNOOhg",,,,
"Racism0100","@FabrizioRomano Too many ignorant Africans on these thread. If you in Africa just maintain because y’all just embarrassing us with your takes",,,,
"Racism0101","Us As African American People... Have To STOP MAKING EVERYTHING ABOUT RACE 🤧 “oh pookie cut his hand while at work” our response “if he wasn’t working for the white man he wouldn’t have that problem” WE CAN BE SO IGNORANT 😅 #YeahISaidIt",,,,
"Racism0102","I think I understand why the Latin community is so ignorant about black history and black identity.
African Americans have had a number of civil rights leaders, the Latin community has never had a prominent pro-black leader in their history of the same magnitude.",,,,
"Racism0103","@Mwebantu @HHichilema @WatchdogZambian @UPNDYouthLeague why should we stand on the side lines and watch everything we worked towards  brun. Africans you always complain about the person you voted into power we need to change this ignorant mindset we have. Please spread the word.",,,,
"Racism0104","@IttieBittie_IBO @wtfkenna How do u think Africans feel with the tribal and racist shit??? U might not find it offensive but others are definitely hurt and offended, stop being selfish and ignorant, y'all would've reacted differently if it wasn't JT",,,,
"Racism0105","i'm surrounded by white trash. i hate white people. @tellsecret",,,,
"Racism0106","@joanwalsh i am on the crazy left 2! apparently out here on this wing we drink purple kool aid and hate white people. #rwnutjoblogic",,,,
"Racism0107","@tlhead exactly. i just hate black people. and gays too. and anyone who loves them. because that's gay.",,,,
"Racism0108","to hell w/tis bullshit this is why i hate black people i'm getting dressed for work *mumbles* 8-]",,,,
"Racism0109","ugh still kinda sleepy...my night was interrupted numerous times by a nigga i dont even know! thats why i hate niggas (boys not blacks)...",,,,
"Racism0110","My God what is happening to Africans living in europe? They don't even say hi to each other . Is like they are enemies to themselves. They are even more resist to each other than that of so called pig looking people. Wow they attacks each other on social media claiming right.",,,,
"Racism0111","i don't want my son to turn out like me but the opposite of me is an afro punk nigga https://t.co/m0fjECB1i9",,,,
"Racism0112","@Tytrathor @curgii @JohnChigas Scum ?? see dis Nigerian man u dey call Ghanaians and South Africans scum?? https://t.co/xs54XDAcvD",,,,
"Racism0113","i know you're not supposed to hate people because of their race.. but man do i hate white people.",,,,
"Racism0114","One of Trumps very fine white supremacists, murders a young African American mother, and did so to teach her a lesson... what that she wasn't white? And he has no remorse. A child's mother was taken from it. Trump supporters r ISIS
https://t.co/0OvvLpAOKy",,,,
"Racism0115","@fortworthpd @FWPOA @police_fort apparently have a license from the city of Fort Worth, TX to terrorize and kill residents ... as long as they're African-Americans. https://t.co/Dk8T5MgCDO",,,,
"Racism0116","@TeijiMack Nahhhh, Asian sixes are incredibly annoying. I wear a men’s size over here and I’ll be damned",,,,
"Racism0117","asian culture is toxic the way it is and the fact we’re normalising the so-called ancestors custom or whatever bullshit is so frustratedly annoying",,,,
"Racism0118","Why are black people so fucking annoying like we get it you monkey niggas your black stfu",,,,
"Racism0119","This is why you’re a stupid black donkey",,,,
"Racism0120","@TRIVIAJIMlN @angelm0319 @PHOBlCS @rosesarerosies0 @twtechnoblade @certifiedb1mbo @karlhugs @gwenpearls The fact that they claim it is annoying, I agree. But I don't get how should be exclusive to black people say things like ""is the _ for me"" or the ""not"" everywhere... Why should it be?",,,,
"Racism0121","Omfg everything doesn’t have to be black dam yall annoying 😂😂😂😂 https://t.co/xfnTMlQRRD",,,,
"Racism0122","@DeeDahk @Sujodamystique You’re just being ignorant.. Read the tweet with your sense and you’ll understand. It’s embarrassing how y’all campaign so people can kneel and appeal to your oppressors.. Infact N word shouldn’t be annoying to anyone at this point cuz you’re still black at the end!",,,,
"Racism0123","@tsfixation Not to me annoying but you only showed one part of Asian. Could you make like another part where u use more Asian people around Asia??",,,,
"Racism0124","Why when anything racist happens the spokesperson for all black people is John Barnes??? All he does is say ‘that’s not racist’ to make the white people feel comfortable man it’s so annoying",,,,
"Racism0125","Why do white people do black rolls dances so hard. It’s annoying. Tone the aggression down.",,,,
"Racism0126","@V1Loxzi The only way to stop racism is to be racial too...if a white man makes a racial comment...please  make a racial comments against immediately...we need stop crying to the media that doesn't care...u call me black i call u an undercooked bastard",,,,
"Racism0127","@officialbarnesy Spanish word for black too. It's all about context. Did he say ""black guy"" or ""black bastard""? This is getting ridiculous",,,,
"Racism0128","@EuropeLaughing @Kristy35399517 @DarkerLane262 @realDonaldTrump Until the asshole realizes I’m European, not American.",,,,
"Racism0129","I’m so mf sick of it 😤Like im just able to keep bending down there ole weak ass black bastard 😠 https://t.co/Y8N9fS4mzg",,,,
